	aquatic products	cattle	chicken	game	plants	small ruminants	swine	turkey
aquatic products	191	13	7	1	3	2	0	0
cattle	14	224	22	2	1	5	2	1
chicken	17	21	298	0	2	5	0	4
game	0	4	1	0	0	0	0	0
plants	6	2	7	0	5	0	0	0
small ruminants	2	17	9	0	0	6	0	1
swine	4	4	1	0	1	1	7	0
turkey	1	1	10	0	0	1	0	21
