mean_test_accuracy	std_test_accuracy	experiment
0.794087346024636	0.0279967659297539	Source_1
0.76555431131019	0.0350380180584577	Source_1_up
0.704395604395604	0.0432498212179218	Source_2
0.673626373626374	0.0522527183646978	Source_2_up
0.603992673992674	0.0455368652648403	Source_2n1
0.574053724053724	0.0436042170626889	Source_2n1_up
0.617942176870748	0.065834451440938	Source_3
0.547619047619048	0.0612843976554589	Source_3
