	samples	labels	predictions	dairy	eel	feces	fresh meat	herring	mackerel	processed meat	salmon	shrimp	spices/herbs/vegetables	trout	experiment
86	L01627	trout	trout	0.0	0.0	0.0	0.0	0.0	0.04571241740496739	0.0	0.0	0.0	0.0	0.9542875825950348	Source_2
87	L01680	trout	trout	0.0	0.0	0.0	0.0	0.0	0.04571241740496739	0.0	0.0	0.0	0.0	0.9542875825950348	Source_2
88	L00573	fresh meat	fresh meat	0.0	0.0	0.0	0.8585385642135642	0.0	0.0	0.1414614357864358	0.0	0.0	0.0	0.0	Source_2
89	L01075	processed meat	fresh meat	0.0	0.001	0.019	0.8078290219584334	0.02283333333333333	0.001	0.12832097804156625	0.012	0.001	0.006016666666666667	0.001	Source_2
90	L01507	fresh meat	fresh meat	0.0	0.0	0.0	0.9437234126984128	0.0	0.0	0.056276587301587286	0.0	0.0	0.0	0.0	Source_2
0	L01103	trout	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.96	0.0	0.0	0.039	Source_2
1	L00352	spices/herbs/vegetables	spices/herbs/vegetables	0.0	0.013766666666666667	0.002	0.15165714285714288	0.022	0.007	0.0992595238095238	0.037	0.0	0.6550833333333332	0.012233333333333332	Source_2
2	L00361	processed meat	fresh meat	0.0	0.0	0.0	0.8059892857142856	0.0	0.0	0.19401071428571406	0.0	0.0	0.0	0.0	Source_2
3	L00407	processed meat	processed meat	0.0	0.001	0.0	0.3391690476190475	0.033	0.001	0.40483095238095257	0.133	0.002	0.079	0.007	Source_2
4	L00666	processed meat	fresh meat	0.0	0.0	0.0	0.9983666666666666	0.0	0.0	0.0016333333333333332	0.0	0.0	0.0	0.0	Source_2
5	L00698	processed meat	fresh meat	0.0	0.0	0.0	0.800865728715727	0.0	0.0	0.19913427128427127	0.0	0.0	0.0	0.0	Source_2
6	L00713	processed meat	processed meat	0.0	0.0	0.0	0.3676730158730155	0.0	0.0	0.6323269841269841	0.0	0.0	0.0	0.0	Source_2
7	L00854	shrimp	eel	0.0	0.4940222222222226	0.0	0.06406666666666666	0.004	0.07	0.012933333333333333	0.121	0.0	0.005	0.2289777777777778	Source_2
8	L00879	processed meat	processed meat	0.0	0.0	0.0	0.3676730158730155	0.0	0.0	0.6323269841269841	0.0	0.0	0.0	0.0	Source_2
9	L00918	fresh meat	processed meat	0.0	0.001	0.001	0.1795608543417368	0.0	0.0	0.8184391456582625	0.0	0.0	0.0	0.0	Source_2
10	L00922	fresh meat	processed meat	0.0	0.0	0.0	0.39589386724386716	0.0	0.0	0.6041061327561333	0.0	0.0	0.0	0.0	Source_2
11	L00991	fresh meat	processed meat	0.0	0.0	0.0	0.33236309523809476	0.002	0.001	0.6096369047619046	0.051	0.0	0.0	0.004	Source_2
12	L00997	salmon	salmon	0.0	0.004947619047619048	0.0	0.09489047619047619	0.006	0.001	0.2341095238095238	0.641	0.0	0.003	0.015052380952380953	Source_2
13	L01060	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
14	L01061	fresh meat	fresh meat	0.0	0.0	0.003	0.898	0.001	0.0	0.098	0.0	0.0	0.0	0.0	Source_2
15	L01204	salmon	salmon	0.0	0.068	0.0	0.21343333333333336	0.001	0.0	0.011566666666666664	0.706	0.0	0.0	0.0	Source_2
