	precision	recall	f1-score	support	experiment
aquatic products	0.8127659574468085	0.880184331797235	0.8451327433628317	217.0	Source_1
cattle	0.7832167832167832	0.8265682656826568	0.8043087971274686	271.0	Source_1
chicken	0.8394366197183099	0.8587896253602305	0.849002849002849	347.0	Source_1
game	0.0	0.0	0.0	5.0	Source_1
plants	0.4166666666666667	0.25	0.3125	20.0	Source_1
small ruminants	0.3	0.17142857142857143	0.21818181818181817	35.0	Source_1
swine	0.7777777777777778	0.3888888888888889	0.5185185185185185	18.0	Source_1
turkey	0.7777777777777778	0.6176470588235294	0.6885245901639345	34.0	Source_1
accuracy	0.7940865892291447	0.7940865892291447	0.7940865892291447	0.7940865892291447	Source_1
macro avg	0.5884551978255155	0.499188342747639	0.5295211645446776	947.0	Source_1
weighted avg	0.7805535858899019	0.7940865892291447	0.7841552386172521	947.0	Source_1
