	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_model__n_estimators	param_model__max_features	param_model__max_depth	params	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	split9_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	experiment
0	2.81349773406982	0.220276633439303	0.0479289054870606	0.00308173679052051	377	sqrt	322	{'model__n_estimators': 377, 'model__max_features': 'sqrt', 'model__max_depth': 322}	0.768421052631579	0.821052631578947	0.810526315789474	0.810526315789474	0.736842105263158	0.789473684210526	0.821052631578947	0.829787234042553	0.776595744680851	0.776595744680851	0.794087346024636	0.0279967659297539	1	Source_1
18	21.3731415510178	0.544858280695418	0.157789611816406	0.00481607001864195	911	sqrt	366	{'model__n_estimators': 911, 'model__max_features': 'sqrt', 'model__max_depth': 366}	0.747368421052632	0.821052631578947	0.778947368421053	0.778947368421053	0.694736842105263	0.757894736842105	0.8	0.787234042553192	0.765957446808511	0.723404255319149	0.76555431131019	0.0350380180584577	1	Source_1_up
6	6.39641892910004	0.140554961226011	0.120749449729919	0.0114654946928021	1000	sqrt	500	{'model__n_estimators': 1000, 'model__max_features': 'sqrt', 'model__max_depth': 500}	0.659340659340659	0.78021978021978	0.725274725274725	0.659340659340659	0.747252747252747	0.67032967032967	0.703296703296703	0.681318681318681	0.758241758241758	0.659340659340659	0.704395604395604	0.0432498212179218	1	Source_2
32	22.0247260570526	0.530456514374062	0.120180463790894	0.0272493561110642	644	sqrt	233	{'model__n_estimators': 644, 'model__max_features': 'sqrt', 'model__max_depth': 233}	0.637362637362637	0.758241758241758	0.681318681318681	0.615384615384615	0.725274725274725	0.637362637362637	0.626373626373626	0.692307692307692	0.747252747252747	0.615384615384615	0.673626373626374	0.0522527183646978	1	Source_2_up
53	11.7797370672226	0.288532474225714	0.0964932441711426	0.0135528778410949	733	log2	455	{'model__n_estimators': 733, 'model__max_features': 'log2', 'model__max_depth': 455}	0.56043956043956	0.615384615384615	0.593406593406593	0.637362637362637	0.555555555555556	0.622222222222222	0.655555555555556	0.677777777777778	0.6	0.522222222222222	0.603992673992674	0.0455368652648403	1	Source_2n1
16	26.8419845104218	1.58415725890533	0.0820563316345215	0.00627857044465094	288	sqrt	411	{'model__n_estimators': 288, 'model__max_features': 'sqrt', 'model__max_depth': 411}	0.571428571428571	0.604395604395604	0.571428571428571	0.604395604395604	0.522222222222222	0.588888888888889	0.577777777777778	0.655555555555556	0.555555555555556	0.488888888888889	0.574053724053724	0.0436042170626889	1	Source_2n1_up
6	5.98645679950714	0.167291019420153	0.111106872558594	0.00877258598841228	1000	sqrt	500	{'model__n_estimators': 1000, 'model__max_features': 'sqrt', 'model__max_depth': 500}	0.551020408163265	0.673469387755102	0.551020408163265	0.612244897959184	0.5625	0.708333333333333	0.708333333333333	0.625	0.666666666666667	0.520833333333333	0.617942176870748	0.065834451440938	1	Source_3
21	7.83874368667603	0.236483719519443	0.0682736158370972	0.0107799582592538	377	log2	277	{'model__n_estimators': 377, 'model__max_features': 'log2', 'model__max_depth': 277}	0.551020408163265	0.612244897959184	0.428571428571429	0.551020408163265	0.458333333333333	0.604166666666667	0.583333333333333	0.583333333333333	0.604166666666667	0.5	0.547619047619048	0.0612843976554589	1	Source_3
