	samples	labels	predictions	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products	experiment
67	L01142	fresh meat, cattle	feces, small ruminants	0.0	0.0	0.7534722222222222	0.010416666666666666	0.003472222222222222	0.010416666666666666	0.003472222222222222	0.0	0.0	0.0	0.0	0.2013888888888889	0.0053893809268205405	0.0	0.008499507962068348	0.003472222222222222	0.0	0.0	0.0	Source_2n1_up
68	L00796	herring, aquatic products	fresh meat, chicken	0.0	0.0	0.003472222222222222	0.10069444444444445	0.6597222222222222	0.003472222222222222	0.0	0.08515019379844962	0.003472222222222222	0.09375	0.015531046618562534	0.0	0.003472222222222222	0.0016553617571059432	0.0	0.005302286714770798	0.0	0.0	0.024305555555555556	Source_2n1_up
69	L00825	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
70	L00931	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.041666666666666664	0.6354166666666666	0.0	0.0	0.006944444444444444	0.0	0.0	0.058375995094162386	0.010416666666666666	0.017361111111111112	0.0	0.0	0.0	0.0	0.027777777777777776	0.20204067157250427	Source_2n1_up
71	L01066	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.0	0.5451388888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4548611111111111	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
72	L01074	fresh meat, cattle	processed meat, cattle	0.0	0.0	0.0	0.39501074735449737	0.0	0.0	0.0	0.003472222222222222	0.0	0.0	0.0	0.5390170304232805	0.006944444444444444	0.0	0.0	0.04513888888888889	0.006944444444444444	0.0	0.003472222222222222	Source_2n1_up
73	L01098	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.041666666666666664	0.6354166666666666	0.0	0.0	0.006944444444444444	0.0	0.0	0.058375995094162386	0.010416666666666666	0.017361111111111112	0.0	0.0	0.0	0.0	0.027777777777777776	0.20204067157250427	Source_2n1_up
74	L01198	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
75	L00326	herring, aquatic products	herring, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
76	L01279	dairy, cattle	dairy, cattle	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
77	L00379	salmon, aquatic products	salmon, aquatic products	0.013888888888888888	0.003472222222222222	0.08662280701754385	0.1111111111111111	0.007127192982456139	0.013888888888888888	0.010416666666666666	0.003472222222222222	0.003472222222222222	0.006944444444444444	0.0	0.013888888888888888	0.01290246212121212	0.0	0.011403093434343434	0.6597222222222222	0.0024305555555555556	0.03923611111111111	0.0	Source_2n1_up
78	L00653	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.0	0.005773525119604438	0.0	0.0	0.0	0.010297740052762658	0.0	0.0	0.0	0.9428822767031888	0.0	0.04104645812444416	0.0	0.0	0.0	0.0	Source_2n1_up
79	L01626	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Source_2n1_up
80	L01747	mackerel, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22624615512506605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7737538448749339	Source_2n1_up
81	L01774	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Source_2n1_up
82	L01650	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Source_2n1_up
83	L01750	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
84	L01500	processed meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.5160256920068901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48397430799310975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
85	L01627	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22624615512506605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7737538448749339	Source_2n1_up
86	L00369	processed meat, cattle	processed meat, cattle	0.0	0.0	0.0	0.020833333333333332	0.003472222222222222	0.0	0.006944444444444444	0.0	0.0	0.003472222222222222	0.0	0.9513888888888888	0.006944444444444444	0.0	0.0	0.003472222222222222	0.0	0.0	0.003472222222222222	Source_2n1_up
87	L00573	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.9652777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034722222222222224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
88	L00995	fresh meat, chicken	trout, aquatic products	0.0	0.0	0.003472222222222222	0.2465277777777778	0.1284722222222222	0.0	0.003472222222222222	0.0	0.006285743464052288	0.1076388888888889	0.0	0.003472222222222222	0.006944444444444444	0.013888888888888888	0.004130923202614379	0.0	0.003472222222222222	0.0	0.4722222222222222	Source_2n1_up
89	L01128	processed meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.7714437279541446	0.024305555555555556	0.003472222222222222	0.0	0.003472222222222222	0.0	0.0	0.0	0.1868896053791887	0.0	0.0	0.0	0.003472222222222222	0.003472222222222222	0.0	0.003472222222222222	Source_2n1_up
0	L01103	trout, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034722222222222224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9409722222222222	0.0	0.0	0.024305555555555556	Source_2n1_up
1	L00446	feces, small ruminants	fresh meat, chicken	0.0	0.0	0.0	0.2916666666666667	0.4722222222222222	0.0	0.0	0.0	0.0	0.003472222222222222	0.0	0.22916666666666666	0.003472222222222222	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
2	L00574	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.6882550705467373	0.13194444444444445	0.0	0.003472222222222222	0.0	0.0	0.0	0.0	0.15202270723104058	0.003472222222222222	0.003472222222222222	0.0	0.017361111111111112	0.0	0.0	0.0	Source_2n1_up
3	L00576	processed meat, turkey	processed meat, turkey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39702581809062215	0.0	0.0	0.0	0.0	0.0	0.6029741819093783	0.0	0.0	0.0	0.0	Source_2n1_up
4	L00609	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.003472222222222222	0.9791666666666666	0.0	0.0	0.0	0.011968954248366014	0.0	0.0	0.0	0.0	0.003472222222222222	0.001919934640522876	0.0	0.0	0.0	0.0	Source_2n1_up
5	L00619	fresh meat, chicken	processed meat, cattle	0.0	0.0	0.0	0.11458333333333333	0.003472222222222222	0.0	0.0	0.003472222222222222	0.0	0.0	0.0	0.8784722222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
6	L00678	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.0	0.1448397570793405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8551602429206597	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
7	L00700	fresh meat, cattle	processed meat, cattle	0.0	0.0	0.0	0.13499614957625794	0.03819444444444445	0.0	0.003472222222222222	0.006944444444444444	0.003472222222222222	0.0	0.0	0.8094482948681864	0.0	0.0	0.0	0.0	0.0	0.003472222222222222	0.0	Source_2n1_up
8	L00711	fresh meat, turkey	fresh meat, chicken	0.0	0.08333333333333333	0.0	0.08680555555555555	0.3541666666666667	0.0	0.0	0.0	0.0	0.006944444444444444	0.013888888888888888	0.14930555555555555	0.16319444444444445	0.0	0.0	0.0763888888888889	0.003472222222222222	0.04513888888888889	0.017361111111111112	Source_2n1_up
9	L00713	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.003472222222222222	0.1572021631917467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.839325614586032	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
10	L00730	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.013888888888888888	0.059027777777777776	0.0	0.0	0.0	0.0	0.0	0.003472222222222222	0.006944444444444444	0.9131944444444444	0.0	0.0	0.003472222222222222	0.0	0.0	0.0	Source_2n1_up
