	precision	recall	f1-score	support	experiment
aaaa	0.375	0.6	0.4615384615384615	5.0	Source_3_up
bbb	0.8461538461538461	0.7857142857142857	0.8148148148148148	14.0	Source_3_up
bbbbb	0.5	0.36363636363636365	0.4210526315789474	11.0	Source_3_up
ccc	0.35714285714285715	0.45454545454545453	0.4	11.0	Source_3_up
ddd	0.5	0.2857142857142857	0.36363636363636365	21.0	Source_3_up
dddd	0.8888888888888888	0.8888888888888888	0.8888888888888888	36.0	Source_3_up
gg	0.75	0.75	0.75	12.0	Source_3_up
ggg	0.4230769230769231	0.3548387096774194	0.3859649122807018	31.0	Source_3_up
hhh	0.5454545454545454	0.5	0.5217391304347826	24.0	Source_3_up
hhhh	0.42857142857142855	0.2727272727272727	0.33333333333333326	22.0	Source_3_up
iii	0.6	0.5769230769230769	0.5882352941176471	26.0	Source_3_up
iiii	0.8	0.5714285714285714	0.6666666666666666	14.0	Source_3_up
j	0.5	0.5	0.5	6.0	Source_3_up
jj	0.6329113924050633	0.6410256410256411	0.6369426751592356	78.0	Source_3_up
jjj	0.3	0.375	0.33333333333333326	8.0	Source_3_up
kk	0.0	0.0	0.0	9.0	Source_3_up
kkk	0.3333333333333333	0.4444444444444444	0.380952380952381	9.0	Source_3_up
mmm	0.43902439024390244	0.45	0.4444444444444445	40.0	Source_3_up
nnnn	0.8125	0.8666666666666667	0.8387096774193549	15.0	Source_3_up
ooo	0.6666666666666666	0.5714285714285714	0.6153846153846153	7.0	Source_3_up
q	0.2	0.5714285714285714	0.29629629629629634	7.0	Source_3_up
qq	0.14285714285714285	0.2222222222222222	0.17391304347826086	9.0	Source_3_up
rr	0.0	0.0	0.0	9.0	Source_3_up
s	0.7647058823529411	0.9285714285714286	0.8387096774193549	14.0	Source_3_up
tt	0.25	0.25	0.25	12.0	Source_3_up
uuuu	0.5833333333333334	0.5833333333333334	0.5833333333333334	12.0	Source_3_up
v	1.0	1.0	1.0	6.0	Source_3_up
wwww	1.0	0.8333333333333334	0.9090909090909091	6.0	Source_3_up
x	0.8333333333333334	1.0	0.9090909090909091	5.0	Source_3_up
xxxx	0.6	0.6	0.6	5.0	Source_3_up
accuracy	0.5475206611570248	0.5475206611570248	0.5475206611570248	0.5475206611570248	Source_3_up
macro avg	0.5357651321271403	0.5413957040569944	0.5302023930897678	484.0	Source_3_up
weighted avg	0.5616220756176246	0.5475206611570248	0.5488731135895911	484.0	Source_3_up
