	precision	recall	f1-score	support	experiment
dairy	0.6666666666666666	0.8333333333333334	0.7407407407407408	12.0	Source_2_up
eel	0.5	0.6	0.5454545454545454	10.0	Source_2_up
feces	0.21428571428571427	0.15789473684210525	0.18181818181818182	19.0	Source_2_up
fresh meat	0.762114537444934	0.7706013363028953	0.7663344407530455	449.0	Source_2_up
herring	0.7692307692307693	0.7317073170731707	0.7499999999999999	41.0	Source_2_up
mackerel	0.0	0.0	0.0	12.0	Source_2_up
processed meat	0.5023923444976076	0.5276381909547738	0.5147058823529411	199.0	Source_2_up
salmon	0.7922077922077922	0.7011494252873564	0.7439024390243902	87.0	Source_2_up
shrimp	0.38461538461538464	0.5	0.4347826086956522	10.0	Source_2_up
spices/herbs/vegetables	0.36363636363636365	0.2	0.25806451612903225	20.0	Source_2_up
trout	0.8775510204081632	0.8431372549019608	0.86	51.0	Source_2_up
accuracy	0.6736263736263737	0.6736263736263737	0.6736263736263737	0.6736263736263737	Source_2_up
macro avg	0.530245508453945	0.5332237813359633	0.5268912140880482	910.0	Source_2_up
weighted avg	0.6764521484169943	0.6736263736263737	0.6737881789988918	910.0	Source_2_up
